Date,NTU_12K001_H2S,NTU_12K001_HCL,NTU_AI120201
08/09/2020,0.90,2.00,87.60
09/09/2020,0.90,2.00,87.06
10/09/2020,0.90,2.00,88.23
11/09/2020,0.90,2.00,87.45
12/09/2020,0.90,2.00,88.45
13/09/2020,0.90,2.00,87.91
14/09/2020,0.90,2.00,86.55
15/09/2020,0.90,2.00,86.26
16/09/2020,0.90,2.00,86.01
17/09/2020,0.90,2.00,86.07
18/09/2020,0.90,2.00,86.35
19/09/2020,0.90,2.00,88.56
20/09/2020,0.92,2.19,89.52
21/09/2020,1.00,3.00,88.46
22/09/2020,1.00,3.00,87.48
23/09/2020,1.00,3.00,87.96
24/09/2020,1.00,3.00,88.17
25/09/2020,1.00,3.00,88.62
26/09/2020,1.00,3.00,88.02
27/09/2020,1.00,2.96,87.94
28/09/2020,0.90,0.90,87.40
29/09/2020,0.90,0.90,87.42
30/09/2020,0.90,0.90,87.07
01/10/2020,0.90,0.90,87.53
02/10/2020,0.90,0.90,88.77
03/10/2020,0.90,0.90,88.65
04/10/2020,0.90,0.90,87.97
05/10/2020,0.90,0.90,86.84
06/10/2020,0.90,0.90,86.70
07/10/2020,0.90,0.90,87.12
08/10/2020,0.90,0.90,87.35
09/10/2020,0.90,0.90,87.52
10/10/2020,0.90,0.90,87.94
11/10/2020,0.90,0.90,88.11
12/10/2020,0.90,0.90,89.22
13/10/2020,0.90,0.90,90.56
14/10/2020,0.90,0.90,88.74
15/10/2020,0.90,0.90,88.16
16/10/2020,0.90,0.90,87.65
17/10/2020,0.90,0.90,88.06
18/10/2020,0.92,1.38,88.07
19/10/2020,1.00,3.00,87.47
20/10/2020,1.00,3.00,86.65
21/10/2020,1.00,3.00,86.42
22/10/2020,1.00,3.00,88.00
23/10/2020,1.00,3.00,88.40
24/10/2020,1.00,3.00,88.97
25/10/2020,1.00,3.69,88.38
26/10/2020,1.00,6.00,86.95
27/10/2020,1.00,6.00,86.46
28/10/2020,1.00,6.00,87.00
29/10/2020,1.00,6.00,86.55
30/10/2020,1.00,6.00,86.76
31/10/2020,1.00,6.00,88.99
01/11/2020,1.00,6.00,87.27
02/11/2020,1.00,6.00,86.53
03/11/2020,1.00,6.00,86.45
04/11/2020,1.00,6.00,86.78
05/11/2020,1.00,6.00,89.10
06/11/2020,1.00,6.00,88.97
07/11/2020,1.00,6.00,87.93
08/11/2020,1.00,6.00,88.49
09/11/2020,1.00,6.00,88.55
10/11/2020,1.00,6.00,88.44
11/11/2020,1.00,6.00,88.33
12/11/2020,1.00,6.00,88.89
13/11/2020,1.00,6.00,89.22
14/11/2020,1.00,6.00,88.84
15/11/2020,0.98,5.31,89.49
16/11/2020,0.90,3.00,90.01
17/11/2020,0.90,3.00,88.29
18/11/2020,0.90,3.00,87.93
19/11/2020,0.90,3.00,89.18
20/11/2020,0.90,3.00,88.76
21/11/2020,0.90,3.00,88.51
22/11/2020,0.90,3.00,88.64
23/11/2020,0.90,3.00,88.41
24/11/2020,0.90,3.00,87.83
25/11/2020,0.90,3.00,88.22
26/11/2020,0.90,3.00,88.68
27/11/2020,0.90,3.00,88.89
28/11/2020,0.90,3.00,89.14
29/11/2020,0.90,3.00,88.81
30/11/2020,0.90,3.00,88.65
01/12/2020,0.90,3.00,88.56
02/12/2020,0.90,3.00,88.14
03/12/2020,0.90,3.00,87.49
04/12/2020,0.90,3.00,88.68
05/12/2020,0.90,3.00,88.78
06/12/2020,0.90,3.00,88.36
07/12/2020,0.90,3.00,87.41
08/12/2020,0.90,3.00,85.32
09/12/2020,0.90,3.00,87.74
10/12/2020,0.90,3.00,88.22
11/12/2020,0.90,3.00,88.16
12/12/2020,0.90,3.00,87.75
13/12/2020,0.90,3.00,86.90
14/12/2020,0.90,3.00,87.11
15/12/2020,0.90,3.00,87.94
16/12/2020,0.90,3.00,87.89
17/12/2020,0.90,3.00,87.48
18/12/2020,0.90,3.00,88.05
19/12/2020,0.90,3.00,88.35
20/12/2020,0.90,3.46,88.38
21/12/2020,0.90,5.00,87.78
22/12/2020,0.90,5.00,87.53
23/12/2020,0.90,5.00,87.28
24/12/2020,0.90,5.00,86.84
25/12/2020,0.90,5.00,86.63
